Id Fail Leverage CumulProfit Liquid OverDueDebt WorkCap OperProfit ShortDebt GuarDebt StateLag FiscalLag InFinan Links CapStruct
210 1 0 -0.06595 0.00105 0 -0.30494 -0.04981 0.33506 0 179 153 -0.54547 0 1
211 0 1 0.09281 0.00315 0 0.59289 0.10273 0.47498 0 301 183 0.06748 0 0.8715
212 0 1 0.01291 0.06441 1 0.66059 0.02554 0.61965 0 180 126 0.03505 0 0.81093
213 0 1 0.18403 0.08941 0 0.07648 0.10345 0.01634 0.04634 164 139 0.09011 0 0.79194
214 0 1 0.1753 0.04309 0 0.00944 0.06155 0.00879 0 190 166 0.04193 0 0.74609
215 1 0 0.00663 0.00145 0 0.16313 -0.02892 0.00839 0 156 141 0.11536 0 0.66648
216 0 1 0.10924 0.00948 1 0.30356 0.09834 0.07732 0.33263 175 147 0.10559 0 0.76374
217 0 1 0.0424 0.06003 1 -0.18471 0.05598 0 0.31142 247 209 0.08923 0 0.92923
218 0 1 -0.034 0.01963 0 0.18881 0.11401 0.41647 0 251 182 -0.28807 0 0.8517
219 1 0 0.09103 0 0 -0.17743 0.0622 0.47659 0.17699 219 171 -0.27019 0 0.727
220 1 0 0.00352 0.00315 0 0.0672 0.09153 0 0.9016 280 254 -0.77963 0 0.55164
221 1 0 -1.68699 0.00105 0 0.24115 -0.8002 0.34659 0 202 166 -0.83594 0 2.379
222 1 0 0.08459 0.01107 0 0.13102 0.06752 0.08803 0.39851 232 181 -0.01995 0 0.74546
223 1 1 0.02894 0.04658 1 0.21282 0.09588 0.00345 0 320 178 0.09426 0 0.95061
224 1 0 0.00167 0.00019 1 0.12404 0.04621 0.36906 0.60098 275 276 0.07717 0 0.92337
225 0 1 0.07196 0.02929 0 0.35299 0.04705 0.04931 0 108 35 0.07285 0 0.86719
226 0 1 0.00762 0.08765 0 0.00813 0.07805 0 0.62893 180 138 -0.34601 0 0.96549
227 1 0 0.05337 0.0027 1 0.16432 0.06349 0.01318 0 340 283 0.04689 0 0.75511
228 0 0 0.08078 0.07294 0 0.17032 0.03552 0.15895 0.32628 180 164 0.00034 0 0.84954
229 0 1 0.09565 0.00359 0 0.33002 0.074 0 0 316 179 -0.00242 0 0.84192
230 1 1 -0.11299 0.00276 1 0.07565 0.06972 0.06046 0.58574 263 153 0.22654 0 0.99257
231 0 1 0.13763 0.05452 0 0.15617 0.09958 0 0 194 156 -0.01196 0 0.75099
232 0 1 0.03153 0.00676 1 0.40678 0.1504 0.65797 0.45237 176 153 0.10701 0 0.85445
233 0 1 0.1026 0.05564 0 0.30558 0.10446 0 0.57036 202 179 0.29043 0 0.82784
234 1 1 -0.00016 0.07861 1 -0.10514 0.01652 0.10337 0.10906 200 118 -0.23265 0 0.979
235 0 1 0.03431 0.00065 0 0.07085 0.06005 0.27393 0.33863 174 163 0.15178 0 0.82155
236 1 0 -0.07359 0.0008 0 0.04829 -0.05328 0.16937 0.28765 213 159 -0.25566 0 1.006
237 0 0 -0.03818 0.02855 0 -0.02604 0.02797 0.06846 0 183 153 0.05648 0 0.9157
238 0 1 0.00011 0.00071 0 0.04036 0.02963 0.01165 0.49587 199 175 -0.04131 0 0.9754
239 0 1 0.2923 0.15801 0 0.27007 0.18572 0.00299 0 128 97 0.12399 0 0.59564
240 1 0 0.02387 0 1 -0.07231 0.04477 0.05113 0 199 138 -0.04573 0 0.7682
241 0 1 -0.02043 0.14697 0 0.22107 0.07656 0.10201 0 155 126 0.14039 0 0.9435
242 0 1 0.09165 0.2404 0 0.09907 0.12789 0 0 309 251 0.04219 0 0.88981
243 0 1 0.06405 0.00105 1 0.4615 0.1305 0.32041 0.27233 148 111 0.1916 0 0.90968
244 0 0 -0.07805 0 0 0.07107 -0.01396 0.21312 0 199 170 0.23604 0 0.6817
245 1 1 -0.02041 0.03388 1 0.11538 0.10097 0.4176 0 129 115 0.01861 0 0.93697
246 0 0 0.08381 0.14397 0 0.12125 0.01133 0 0 206 203 0.10224 0 0.87917
247 0 1 0.10781 0.10095 0 -0.05521 0.06074 0 0 302 179 0.01051 0 0.80201
248 0 0 -0.27042 0.00343 0 -0.06507 -0.06576 0.49013 0.7544 173 137 -0.02533 0 1.17
249 0 1 0.23199 0.00172 0 0.31111 0.12463 0.08293 0 181 171 0.04436 0 0.71084
250 0 1 -0.01675 0.09367 0 0.34908 0.03232 0 0 224 154 0.02784 0 0.35066
251 0 0 -0.11287 0.00387 0 0.01319 0.02575 0.67098 0.76419 183 147 0.0286 0 1.07661
252 0 0 -0.01592 0.09367 0 0.29792 -0.06113 0 0 300 78 0.10974 0 1.00291
253 0 0 0.01677 0.01735 0 0.1697 0.03967 0.19301 0.31767 181 101 0.03599 0 0.78761
254 1 1 0.02748 0.04957 0 -0.04415 0.10101 0.00873 0 361 130 -0.27472 0 0.9432
255 1 1 0.04303 0.00026 0 0.07439 0.10453 0.06023 0 213 157 0.12322 0 0.8923
256 1 0 -0.59497 8e-05 0 0.00939 0.0421 0.01029 0 296 182 0.06911 0 1.57588
257 1 0 -0.05141 0.00286 1 0.13112 -0.05342 0.50119 0 387 93 -0.81371 0 1.0189
258 1 1 0.05776 0.0076 1 0.36115 0.06395 0 0 152 143 -0.00947 0.05182 0.58125
259 0 0 -0.04863 0 0 0.03109 0.01572 0.10395 0.34567 279 256 -0.09126 0 0.9542
260 1 1 -0.14383 0.0963 0 0.00105 0.38474 0.24002 0 156 136 0.21899 0 0.84135
261 0 1 -0.00314 0.00671 0 -0.10005 0.05442 0.04948 0.27077 169 152 0.06972 0 0.8111
